j,i,d,r
Advances in Applied Physics ,1314-7617,2-Apr-15,Journal not adhering to Best Practice
Advances in Theoretical and Applied Mechanics ,1313-6550,2-Apr-15,Journal not adhering to Best Practice
Applied Mathematical Sciences,1312-885X,2-Apr-15,Journal not adhering to Best Practice
Contemporary Engineering Sciences ,1313-6569,2-Apr-15,Journal not adhering to Best Practice
Environmental Sciences ,1314-765X,2-Apr-15,Journal not adhering to Best Practice
International Journal of Algebra,1312-8868,2-Apr-15,Journal not adhering to Best Practice
International Journal of Contemporary Mathematical Sciences,1312-7586,2-Apr-15,Journal not adhering to Best Practice
International Journal of Mathematical Analysis,1312-8876,2-Apr-15,Journal not adhering to Best Practice
International Mathematical Forum,1312-7594,2-Apr-15,Journal not adhering to Best Practice
Nonlinear Analysis and Differential Equations ,1314-7587,2-Apr-15,Journal not adhering to Best Practice
Pure and Applied Chemical Sciences,2367-5616,2-Apr-15,Journal not adhering to Best Practice
Pure Mathematical Sciences ,1314-751X,2-Apr-15,Journal not adhering to Best Practice
IACSIT international journal of engineering and technology,1793-8236,30-Mar-15,Journal not adhering to Best Practice
Medical Channel,1681-5491,27-Mar-15,web site url no longer works
AnÃ¡lise,1516-2680,23-Mar-15,Ceased publishing
International Journal for Basic Sciences and Social Sciences,2319-2968,17-Mar-15,Web site url no longer works
International Proceedings of Computer Science and Information Technology,2010-460X,17-Mar-15,Web site url no longer works
Ã‡alÄ±ÅŸma Ä°liÅŸkileri Dergisi,2146-0000,11-Mar-15,Ceased publishing
Journal of Advances in Drug Research,2230-861X,11-Mar-15,Web site URL no longer works
Novus International Journal of Pharmaceutical Technology,2278-6937,11-Mar-15,"Web site url no longer works"
Novus Natural Science Research,2278-6929,11-Mar-15,"Web site url no longer works"
GMS Psycho-Social-Medicine,1860-5214,10-Mar-15,Ceased publishing
IAES International Journal of Robotics and Automation (IJRA),2089-4856,6-Mar-15,Web site url no longer works
International Journal of Network and Mobile Technologies,2229-9114,6-Mar-15,Web site url no longer works
International journal of research & innovation in computer engineering,2249-6580,6-Mar-15,Journal not adhering to Best Practice
Irregular F Journal,2068-4797,6-Mar-15,Ceased publishing
Japan social innovation journal,2185-9493,6-Mar-15,Web site url no longer works
Journal of Society and Communication,2200-6591,6-Mar-15,Journal not adhering to Best Practice
Human Genomics and Proteomics,1757-4242,4-Mar-15,Ceased publishing
Elektrika : Journal of Electrical Engineering,0128-4428,3-Mar-15,Ceased publishing
Escritos Contables y de AdministraciÃ_n,1853-2055,3-Mar-15,web site url no longer works
Hematology online (ASH),1520-4383,3-Mar-15,No longer open access
Asian Journal of Algebra,1994-540X,28-Feb-15,Journal not adhering to Best practice
Asian Journal of Clinical Nutrition,1992-1470,28-Feb-15,Journal not adhering to Best practice
Asian Journal of Crop Science,1994-7879,28-Feb-15,Journal not adhering to Best practice
Asian Journal of Plant Sciences,1682-3974,28-Feb-15,Journal not adhering to Best practice
Current Research in Bacteriology,1994-5426,28-Feb-15,Journal not adhering to Best practice
International Journal of Botany,1811-9700,28-Feb-15,Journal not adhering to Best practice
International Journal of Poultry Science,1682-8356,28-Feb-15,Journal not adhering to Best practice
Journal of Agronomy,1812-5379,28-Feb-15,Journal not adhering to Best practice
Journal of Medical Sciences,1682-4474,28-Feb-15,Journal not adhering to Best practice
Open Spine,1876-5327,28-Feb-15,Ceased publishing
Pakistan Journal of Nutrition,1680-5194,28-Feb-15,Journal not adhering to Best practice
Trends in Agricultural Economics,1994-7933,28-Feb-15,Journal not adhering to Best practice
Urogynaecologia International Journal,"1121-3086, 2038-8314",24-Feb-15,Inactive (has not published in the last calender year)
African Diaspora,1872-5457,23-Feb-15,No longer open access
Journal of Astronomical Instrumentation,2251-1717,23-Feb-15,No longer open access
Kardiologia Polska,0022-9032,23-Feb-15,No longer open access
"Journal of Social, Evolutionary and Cultural Psychology",1933-5377,20-Feb-15,Web site URL no longer works
International Journal of Swimming Kinetics,2201-1560,13-Feb-15,Web site URL no longer works
Signum : Revista da ABREM,1516-6295,13-Feb-15,Web site URL no longer works
International Journal of Independent Research Studies,"2226-4817, 2304-6953",11-Feb-15,Web site URL no longer works
"Studies in learning, evaluation, innovation and development",1832-2050,11-Feb-15,Web site URL no longer works
Genders,1936-3249,6-Feb-15,Web site URL no longer works
Pharmacological Reports,1734-1140,27-Jan-15,Journal is no longer Open Access
IETE Technical Review,0256-4602,26-Jan-15,Journal is no longer Open Access
Journal EXIT-Deutschland : Zeitschrift fÃ_r Deradikalisierung und Demokratische Kultur,2196-8136,26-Jan-15,Ceased publishing
World Journal of Science and Technology,2231-2587,26-Jan-15,Web site URL no longer works
Revista Ãçndice,2175-6244,12-Jan-15,Web site URL no longer works
Journal of the Society for Social Work and Research,1948-822X,7-Jan-15,Journal is no longer Open Access
Comparative Law Review,2038-8985,11-Dec-14,Web site URL no longer works
ConexÃµes : Revista da Faculdade de EducaÃ§Ã£o FÃ_sica - UNICAMP,1516-4381,9-Dec-14,Web site URL no longer works
Open Medicine,1911-2092,8-Dec-14,Ceased publishing
Pediatria WspÃ_Å‚czesna,1507-5532,8-Dec-14,Journal is no longer Open Access
Astrophysics and Space Sciences Transactions (ASTRA),1810-6528,1-Dec-14,Ceased publishing
Social Geography (SG),1729-4274,1-Dec-14,Ceased publishing
Social Geography Discussions,1816-1499,1-Dec-14,Ceased publishing
Acta Electrotehnica,1841-3323,28-Nov-14,Web site URL no longer works
CapÃ_tulo CriminolÃ_gico,0798-9598,28-Nov-14,Web site URL no longer works
Cuadernos Internacionales de TecnologÃ_a para el Desarrollo Humano,1885-8104,28-Nov-14,Web site URL no longer works
InteraÃ§Ãµes : Cultura e Comunidade,1983-2478,28-Nov-14,Web site URL no longer works
JUNG: the e-Journal of the Jungian Society for Scholarly Study,1715-7978,28-Nov-14,Web site URL no longer works
Jurnal Nanosains & Nanoteknologi ,1979-0880,28-Nov-14,Web site URL no longer works
Revista CientÃ_fica,0798-2259,28-Nov-14,Web site URL no longer works
RodriguÃ©sia,0370-6583,28-Nov-14,Web site URL no longer works
Schweizerisches Medizin-Forum ,1424-4020,28-Nov-14,Web site URL no longer works
Selcuk Universitesi Sosyal Bilimler Enstitusu Dergisi,1302-1796,28-Nov-14,Web site URL no longer works
SÃ_sifo : Educational Sciences Journal,1646-6500,28-Nov-14,Web site URL no longer works
CEBE Transactions,1745-0322,24-Nov-14,Web site URL no longer works
Central India Journal of Dental Sciences,2248-9045,24-Nov-14,Web site URL no longer works
Deccan International Journal of Advanced Research Studies,2321-3736,24-Nov-14,Web site URL no longer works
Flusser Studies,1661-5719,24-Nov-14,Web site URL no longer works
Journal of Internet Business,1832-1151,24-Nov-14,Web site URL no longer works
Miradas en Movimiento,1852-2173,24-Nov-14,Web site URL no longer works
Revista de Ciencias Sociales,1315-9518,24-Nov-14,Web site URL no longer works
Southern Med Review,1174-2704,24-Nov-14,Web site URL no longer works
Transylvanian Review of Administrative Sciences,1842-2845,24-Nov-14,Web site URL no longer works
Yeni Symposium,1300-8773,24-Nov-14,Web site URL no longer works
Mediterranean Journal of Social Sciences,2039-9340,20-Nov-14,Journal not adhering to Best practice
Brazilian Journal of Probability and Statistics,0103-0752,17-Nov-14,Journal is no longer Open Access
International Journal of Dental Clinics,0975-8437,17-Nov-14,Journal not adhering to Best practice
Herpesviridae,2042-4280,16-Nov-14,Ceased publishing
International Journal of Oral & Maxillofacial Pathology,2231-2250,13-Nov-14,Journal not adhering to Best practice
International Journal of Prosthetic Dentistry,2231-2269,13-Nov-14,Journal not adhering to Best practice
Linguistica Pragensia,0862-8432,12-Nov-14,Journal is no longer Open Access
Zoosystema,1280-9551,10-Nov-14,Journal is no longer Open Access
Chinese Science Bulletin,1001-6538,4-Nov-14,Journal is no longer Open Access
Cuadernos del Cendes,1012-2508,4-Nov-14,Web site URL no longer works
Forum of Clinical Oncology : Quarterly Official Publication of the Hellenic Society of Medical Oncology,1792-345X,4-Nov-14,Web site URL no longer works
Journal of Tourism and Peace Research,1878-7754,4-Nov-14,Web site URL no longer works
Linguistica Occitana,1773-0538,4-Nov-14,Web site URL no longer works
Revista eSalud,1698-7969,4-Nov-14,Web site URL no longer works
Transit,1551-9627,4-Nov-14,Web site URL no longer works
"Enculturation: a Journal of Rhetoric, Writing, and Culture",1525-3120,29-Oct-14,Web site URL no longer works
Dynamics of Partial Differential Equations (DPDE),1548-159X,27-Oct-14,Journal is no longer Open Access
Journal of Global Social Work Practice,1944-6039,27-Oct-14,Web site URL no longer works
Lecture Notes on Software Engineering,2301-3559,22-Oct-14,Web site URL no longer works
International Journal of Contemporary Business Studies,1309-8047,17-Oct-14,Web site URL no longer works
Mukaddimah : Jurnal Studi Islam,0853-6759,14-Oct-14,Web site URL no longer works
Journal of Industrial Technology,0882-6404,12-Oct-14,Web site URL no longer works
Journal of Ecobiotechnology,2077-0464,15-Sep-14,Web site URL no longer works
Medicina Hospitalaria,2007-5626,15-Sep-14,Ceased publishing
Library Student Journal,1931-6100,10-Sep-14,Web site URL no longer works
"Homology, Homotopy and Applications (HHA)",1532-0073,5-Sep-14,Journal is no longer Open Access
International Journal of Systems Control ,1737-927X,5-Sep-14,Web site URL no longer works
Optica Applicata,0078-5466,28-Aug-14,"""     ""                    ""          ""         """
Ilha do Desterro ,0101-4846,21-Aug-14,get warning when trying to open journal
International Journal of Electrical and Computer Engineering,0974-2190,21-Aug-14,the issn 20888708 given by editor leads to another journal
International Journal of Transpersonal Studies,1321-0122,15-Aug-14,Journal is no longer Open Access
International Journal of Economics and Finance Studies,1309-8055,9-Jul-14,Web site URL no longer works
Theoretical & Applied Ethics,2156-7174,9-Jul-14,Journal is no longer Open Access
Practice and Evidence of the Scholarship of Teaching and Learning in Higher Education,1750-8428,17-Jun-14,Web site URL no longer works
Journal of Modelling and Simulation of Systems,1737-9377,4-Jun-14,Web site URL no longer works
Journal of Sustainability Science and Management,1823-8556,28-May-14,Web site URL no longer works
FÃ_rum LinguÃ_stico,1984-8412,20-May-14,Web site URL no longer works
Journal of Cultural Research ,2222-2480,20-May-14,Journal is no longer Open Access
"Pediatric Endocrinology, Diabetes and Metabolism",2081-237X,20-May-14,Journal is no longer Open Access
Ars Disputandi : the Online Journal for Philosophy of Religion,1566-5399,13-May-14,Journal is no longer Open Access
Annals of Innovation and Entrepreneurship,16544951,11-May-14,Ceased publishing
Mechanical Circulatory Support,2000-6993,11-May-14,Ceased publishing
Acta Societatis Martensis,1736-3918,"Q1, 2014",Inactive (has not published in the last calender year)
Advances in Information Mining,0975-3265,"Q1, 2014",Has not published enough articles this calendar year
AntePodium,1173-5716,"Q1, 2014",Inactive (has not published in the last calender year)
Archives of Computational Materials Science and Surface Engineering ,1689-9210,"Q1, 2014",Inactive (has not published in the last calender year)
Barnolipi,2249-2666,"Q1, 2014",Ceased publishing
BoletÃ_n TÃ©cnico Instituto de Materiales y Modelos Estructurales,0376-723X,"Q1, 2014",Inactive (has not published in the last calender year)
Bollettino del CILEA,1120-2440,"Q1, 2014",Inactive (has not published in the last calender year)
Brazilian Energy Journal,0104-303X,"Q1, 2014",Inactive (has not published in the last calender year)
Brazilian Journal of Physics,0103-9733,"Q1, 2014",Journal is no longer Open Access
"Buletinul Universitatii Petrol Gaze din Ploiesti, Seria Matematica-Informatica-Fizica ",1224-4899,"Q1, 2014",Inactive (has not published in the last calender year)
Caucasian Review of International Affairs,1865-6773,"Q1, 2014",Inactive (has not published in the last calender year)
CiÃªncia & Tecnologia dos Materiais,0870-8312,"Q1, 2014",Inactive (has not published in the last calender year)
Computer Science Journal,2221-5905,"Q1, 2014",Web site URL no longer works
